UPID	Gene	Molecular weight (Da)	GALACTOSE	ACETATE	PYRUVATE	GLYCEROL	FRUCTOSE	SUCCINATE	GLUCOSE	Annotated functional COG group (description)	Description	Annotated functional COG class	Annotated functional COG groups (letter)
P21499	rnr	92033.50406	238	238	302	314	444	282	251	Transcription	Ribonuclease R OS=Escherichia coli (strain K12) GN=rnr PE=1 SV=2	INFORMATION STORAGE AND PROCESSING	K
P0A8M0	asnS	52519.41644	2919	3184	3496	3970	5449	4024	5528	Translation, ribosomal structure and biogenesis	Asparaginyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=asnS PE=1 SV=2	INFORMATION STORAGE AND PROCESSING	J
P0A8L1	serS	48365.52218	1408	1949	2117	2129	2785	2091	2528	Translation, ribosomal structure and biogenesis	Seryl-tRNA synthetase OS=Escherichia coli (strain K12) GN=serS PE=1 SV=1	INFORMATION STORAGE AND PROCESSING	J
P0AEX9	malE	43342.36867	5584	3656	5040	6138	5038	6087	2142	Carbohydrate transport and metabolism	Maltose-binding periplasmic protein OS=Escherichia coli (strain K12) GN=malE PE=1 SV=1	METABOLISM	G
P0A786	pyrB	34387.75071	10136	7536	6609	11773	10761	12674	8888	Nucleotide transport and metabolism	Aspartate carbamoyltransferase catalytic chain OS=Escherichia coli (strain K12) GN=pyrB PE=1 SV=2	METABOLISM	F
P05791	ilvD	65471.83229	444	504	994	710	1215	719	1199	Amino acid transport and metabolism	Dihydroxy-acid dehydratase OS=Escherichia coli (strain K12) GN=ilvD PE=1 SV=5	METABOLISM	EG
P77748	ydiJ	113157.9224	152	209	250	250	326	291	231	Energy production and conversion	Uncharacterized protein ydiJ OS=Escherichia coli (strain K12) GN=ydiJ PE=4 SV=1	METABOLISM	C
P17315	cirA	73832.34947	180	234	352	474	866	432	575	Inorganic ion transport and metabolism	Colicin I receptor OS=Escherichia coli (strain K12) GN=cirA PE=1 SV=2	METABOLISM	P
P0ABH9	clpA	84136.91889	327	357	437	503	670	384	530	Posttranslational modification, protein turnover, chaperones	ATP-dependent Clp protease ATP-binding subunit ClpA OS=Escherichia coli (strain K12) GN=clpA PE=1 SV=1	CELLULAR PROCESSES AND SIGNALING	O
P0C0V0	degP	49305.44896	1705	1531	6153	3359	4096	2179	3338	Posttranslational modification, protein turnover, chaperones	Protease do OS=Escherichia coli (strain K12) GN=degP PE=1 SV=1	CELLULAR PROCESSES AND SIGNALING	O
P31554	lptD	89597.20601	372	295	356	363	356	338	523	Cell wall/membrane/envelope biogenesis	LPS-assembly protein lptD OS=Escherichia coli (strain K12) GN=lptD PE=1 SV=2	CELLULAR PROCESSES AND SIGNALING	M
P06612	topA	97270.30707	227	205	270	339	410	337	355	Replication, recombination and repair	DNA topoisomerase 1 OS=Escherichia coli (strain K12) GN=topA PE=1 SV=2	INFORMATION STORAGE AND PROCESSING	L
P11875	argS	64623.81965	536	445	580	653	825	650	941	Translation, ribosomal structure and biogenesis	Arginyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=argS PE=1 SV=1	INFORMATION STORAGE AND PROCESSING	J
P04805	gltX	53763.78958	1150	1455	1668	1902	2176	1699	2561	Translation, ribosomal structure and biogenesis	Glutamyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=gltX PE=1 SV=1	INFORMATION STORAGE AND PROCESSING	J
P0A7V0	rpsB	26708.79452	16697	13074	16559	23668	36854	24909	29156	Translation, ribosomal structure and biogenesis	30S ribosomal protein S2 OS=Escherichia coli (strain K12) GN=rpsB PE=1 SV=2	INFORMATION STORAGE AND PROCESSING	J
P33363	bglX	83389.45193	74	117	157	150	127	116	157	Carbohydrate transport and metabolism	Periplasmic beta-glucosidase OS=Escherichia coli (strain K12) GN=bglX PE=1 SV=2	METABOLISM	G
P0C8J6	gatY	30774.55511	15768	38995	17087	14000	12285	25688	4939	Carbohydrate transport and metabolism	D-tagatose-1,6-bisphosphate aldolase subunit GatY OS=Escherichia coli (strain K12) GN=gatY PE=1 SV=1	METABOLISM	G
P69786	ptsG	50625.74752	642	559	742	917	3180	783	2775	Carbohydrate transport and metabolism	PTS system glucose-specific EIICB component OS=Escherichia coli (strain K12) GN=ptsG PE=1 SV=1	METABOLISM	G
P05020	pyrC	38784.58103	3020	2403	3718	3499	4284	4427	4485	Nucleotide transport and metabolism	Dihydroorotase OS=Escherichia coli (strain K12) GN=pyrC PE=1 SV=2	METABOLISM	F
P11447	argH	50268.64352	1020	1219	1328	1802	2019	1281	2883	Amino acid transport and metabolism	Argininosuccinate lyase OS=Escherichia coli (strain K12) GN=argH PE=1 SV=3	METABOLISM	E
P22106	asnB	62601.08381	689	972	1305	1192	1542	780	1154	Amino acid transport and metabolism	Asparagine synthetase B [glutamine-hydrolyzing] OS=Escherichia coli (strain K12) GN=asnB PE=1 SV=3	METABOLISM	E
P00509	aspC	43527.99762	6698	7853	8218	8701	9171	9920	6985	Amino acid transport and metabolism	Aspartate aminotransferase OS=Escherichia coli (strain K12) GN=aspC PE=1 SV=1	METABOLISM	E
P0A836	sucC	41348.64135	7735	19647	18432	11673	11574	16995	6213	Energy production and conversion	Succinyl-CoA ligase [ADP-forming] subunit beta OS=Escherichia coli (strain K12) GN=sucC PE=1 SV=1	METABOLISM	C
P0AGE9	sucD	29740.52945	8241	25370	19455	12729	11996	16262	6924	Energy production and conversion	Succinyl-CoA ligase [ADP-forming] subunit alpha OS=Escherichia coli (strain K12) GN=sucD PE=1 SV=2	METABOLISM	C
P0A6H1	clpX	46309.17173	1707	1568	2021	2649	3181	1954	3251	Posttranslational modification, protein turnover, chaperones	ATP-dependent Clp protease ATP-binding subunit ClpX OS=Escherichia coli (strain K12) GN=clpX PE=1 SV=2	CELLULAR PROCESSES AND SIGNALING	O
P0A6H5	hslU	49544.84377	749	859	985	1351	1553	1278	1367	Posttranslational modification, protein turnover, chaperones	ATP-dependent protease ATPase subunit HslU OS=Escherichia coli (strain K12) GN=hslU PE=1 SV=1	CELLULAR PROCESSES AND SIGNALING	O
P30958	mfd	129883.2773	52	73	106	62	93	78	73	Replication, recombination and repair	Transcription-repair-coupling factor OS=Escherichia coli (strain K12) GN=mfd PE=1 SV=2	INFORMATION STORAGE AND PROCESSING	LK
P08312	pheS	36790.65689	3106	2651	3740	4038	4408	3461	5078	Translation, ribosomal structure and biogenesis	Phenylalanyl-tRNA synthetase alpha chain OS=Escherichia coli (strain K12) GN=pheS PE=1 SV=2	INFORMATION STORAGE AND PROCESSING	J
P24182	accC	49271.30273	1045	1046	1376	1586	1778	1567	1810	Lipid transport and metabolism	Biotin carboxylase OS=Escherichia coli (strain K12) GN=accC PE=1 SV=2	METABOLISM	I
P0A953	fabB	42568.05338	11989	10932	14117	13960	12408	14156	13467	Lipid transport and metabolism	3-oxoacyl-[acyl-carrier-protein] synthase 1 OS=Escherichia coli (strain K12) GN=fabB PE=1 SV=1	METABOLISM	IQ
Q47146	fadE	89149.78105	111	311	403	118	197	141	86	Lipid transport and metabolism	Acyl-coenzyme A dehydrogenase OS=Escherichia coli (strain K12) GN=fadE PE=2 SV=2	METABOLISM	I
P0C8J8	gatZ	47060.76941	7007	11766	6296	2892	4363	5815	1413	Carbohydrate transport and metabolism	D-tagatose-1,6-bisphosphate aldolase subunit gatZ OS=Escherichia coli (strain K12) GN=gatZ PE=1 SV=1	METABOLISM	G
P0A7D4	purA	47297.28625	4776	5986	6140	6453	6728	5623	6863	Nucleotide transport and metabolism	Adenylosuccinate synthetase OS=Escherichia coli (strain K12) GN=purA PE=1 SV=2	METABOLISM	F
P0A7E5	pyrG	60318.05938	476	390	627	755	916	746	960	Nucleotide transport and metabolism	CTP synthase OS=Escherichia coli (strain K12) GN=pyrG PE=1 SV=2	METABOLISM	F
P00895	trpE	57440.09143	818	466	991	1318	1472	786	1090	Amino acid transport and metabolism	Anthranilate synthase component 1 OS=Escherichia coli (strain K12) GN=trpE PE=1 SV=2	METABOLISM	EH
P09832	gltD	51964.01557	1650	1293	1553	2327	3008	1394	2965	Amino acid transport and metabolism	Glutamate synthase [NADPH] small chain OS=Escherichia coli (strain K12) GN=gltD PE=1 SV=3	METABOLISM	ER
P08142	ilvB	60383.77314	916	1405	762	2037	1648	1706	1823	Amino acid transport and metabolism	Acetolactate synthase isozyme 1 large subunit OS=Escherichia coli (strain K12) GN=ilvB PE=1 SV=1	METABOLISM	EH
P26616	maeA	63139.24904	284	612	480	481	512	519	528	Energy production and conversion	NAD-dependent malic enzyme OS=Escherichia coli (strain K12) GN=maeA PE=1 SV=4	METABOLISM	C
P07014	sdhB	26734.23452	3077	7106	5225	3332	4132	5865	2481	Energy production and conversion	Succinate dehydrogenase iron-sulfur subunit OS=Escherichia coli (strain K12) GN=sdhB PE=1 SV=1	METABOLISM	C
P37689	gpmI	56140.28406	944	460	593	1657	3645	644	2656		2,3-bisphosphoglycerate-independent phosphoglycerate mutase OS=Escherichia coli (strain K12) GN=gpmI PE=1 SV=1		-
P38054	cusA	114616.0284	249	372	277	452	771	441	356	Inorganic ion transport and metabolism	Cation efflux system protein CusA OS=Escherichia coli (strain K12) GN=cusA PE=1 SV=2	METABOLISM	P
P0ABC7	hflK	45499.07951	899	980	1406	1509	1511	1097	1349	Posttranslational modification, protein turnover, chaperones	Modulator of FtsH protease HflK OS=Escherichia coli (strain K12) GN=hflK PE=1 SV=1	CELLULAR PROCESSES AND SIGNALING	O
P02930	tolC	53690.18447	4374	3449	3737	4795	5378	4628	4884	Cell wall/membrane/envelope biogenesis	Outer membrane protein tolC OS=Escherichia coli (strain K12) GN=tolC PE=1 SV=3	CELLULAR PROCESSES AND SIGNALING	MU
P62399	rplE	20270.69129	14265	13321	15729	22717	31745	23442	31769	Translation, ribosomal structure and biogenesis	50S ribosomal protein L5 OS=Escherichia coli (strain K12) GN=rplE PE=1 SV=2	INFORMATION STORAGE AND PROCESSING	J
P0ABD5	accA	35201.29042	2328	1944	2904	3077	3132	2616	3825	Lipid transport and metabolism	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha OS=Escherichia coli (strain K12) GN=accA PE=1 SV=2	METABOLISM	I
P0A7A7	plsB	91305.48655	178	162	279	190	257	175	192	Lipid transport and metabolism	Glycerol-3-phosphate acyltransferase OS=Escherichia coli (strain K12) GN=plsB PE=1 SV=2	METABOLISM	I
P05459	pdxB	41323.77299	564	381	621	646	850	677	737	Coenzyme transport and metabolism	Erythronate-4-phosphate dehydrogenase OS=Escherichia coli (strain K12) GN=pdxB PE=2 SV=2	METABOLISM	HE
P23721	serC	39739.97191	7996	8002	8722	9686	15637	10047	18150	Coenzyme transport and metabolism	Phosphoserine aminotransferase OS=Escherichia coli (strain K12) GN=serC PE=1 SV=4	METABOLISM	HE
P0A867	talA	35618.46965	2589	1327	849	1364	988	1109	1446	Carbohydrate transport and metabolism	Transaldolase A OS=Escherichia coli (strain K12) GN=talA PE=1 SV=1	METABOLISM	G
P00944	xylA	49692.50395	211	219	195	228	240	222	260	Carbohydrate transport and metabolism	Xylose isomerase OS=Escherichia coli (strain K12) GN=xylA PE=3 SV=1	METABOLISM	G
P0AC53	zwf	55651.32689	1198	625	998	1171	1519	871	1234	Carbohydrate transport and metabolism	Glucose-6-phosphate 1-dehydrogenase OS=Escherichia coli (strain K12) GN=zwf PE=1 SV=1	METABOLISM	G
P08660	lysC	48483.43931	1021	1318	2152	1832	3264	1104	3720	Amino acid transport and metabolism	Lysine-sensitive aspartokinase 3 OS=Escherichia coli (strain K12) GN=lysC PE=1 SV=2	METABOLISM	E
P07023	tyrA	41997.8894	631	866	2267	1233	1806	590	1416	Amino acid transport and metabolism	T-protein OS=Escherichia coli (strain K12) GN=tyrA PE=1 SV=1	METABOLISM	E
P0AEM9	fliY	29003.20238	9467	9115	7942	11401	11498	8826	11402	Amino acid transport and metabolism	Cystine-binding periplasmic protein OS=Escherichia coli (strain K12) GN=fliY PE=1 SV=1	METABOLISM	ET
P0AFG6	sucB	43965.9951	3454	10292	9948	5558	6296	7197	5252	Energy production and conversion	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex OS=Escherichia coli (strain K12) GN=sucB PE=1 SV=2	METABOLISM	C
P22259	pckA	59587.99575	5397	7097	8611	5292	2422	8367	1147		Phosphoenolpyruvate carboxykinase [ATP] OS=Escherichia coli (strain K12) GN=pckA PE=1 SV=2		-
P0AFK0	pmbA	48321.3938	658	878	906	1072	1046	844	1295	General function prediction only	Protein pmbA OS=Escherichia coli (strain K12) GN=pmbA PE=1 SV=1	POORLY CHARACTERIZED	R
P0ADE8	ygfZ	36053.36943	1655	1629	1789	2020	2082	1837	1610	General function prediction only	tRNA-modifying protein ygfZ OS=Escherichia coli (strain K12) GN=ygfZ PE=1 SV=2	POORLY CHARACTERIZED	R
P05825	fepA	82038.47549	109	131	212	182	239	202	374	Inorganic ion transport and metabolism	Ferrienterobactin receptor OS=Escherichia coli (strain K12) GN=fepA PE=1 SV=2	METABOLISM	P
P75780	fiu	81891.90875	60	98	65	111	132	127	202	Inorganic ion transport and metabolism	Catecholate siderophore receptor fiu OS=Escherichia coli (strain K12) GN=fiu PE=1 SV=1	METABOLISM	P
P09169	ompT	35522.27435	7420	8657	7822	9579	9831	10810	13908	Cell wall/membrane/envelope biogenesis	Protease 7 OS=Escherichia coli (strain K12) GN=ompT PE=1 SV=1	CELLULAR PROCESSES AND SIGNALING	M
P0A698	uvrA	103784.5415	141	105	106	118	125	112	127	Replication, recombination and repair	UvrABC system protein A OS=Escherichia coli (strain K12) GN=uvrA PE=1 SV=1	INFORMATION STORAGE AND PROCESSING	L
P0A9P9	idnO	27527.23456	288	391	444	385	NA	404	601	Lipid transport and metabolism	Gluconate 5-dehydrogenase OS=Escherichia coli (strain K12) GN=idnO PE=3 SV=1	METABOLISM	IQR
P18843	nadE	30599.77658	2569	2353	2187	3084	3320	2148	3939	Coenzyme transport and metabolism	NH(3)-dependent NAD(+) synthetase OS=Escherichia coli (strain K12) GN=nadE PE=1 SV=2	METABOLISM	H
P0A6P9	eno	45608.41069	26023	19247	19565	26523	52589	23507	36150	Carbohydrate transport and metabolism	Enolase OS=Escherichia coli (strain K12) GN=eno PE=1 SV=2	METABOLISM	G
P27302	tktA	72147.91979	1625	2661	3675	3392	3669	3721	3883	Carbohydrate transport and metabolism	Transketolase 1 OS=Escherichia coli (strain K12) GN=tktA PE=1 SV=5	METABOLISM	G
P0ABP8	deoD	25915.01852	2741	2242	2187	3391	3228	3259	2764	Nucleotide transport and metabolism	Purine nucleoside phosphorylase deoD-type OS=Escherichia coli (strain K12) GN=deoD PE=1 SV=2	METABOLISM	F
P24171	dcp	77448.95692	488	532	393	533	500	411	591	Amino acid transport and metabolism	Peptidyl-dipeptidase dcp OS=Escherichia coli (strain K12) GN=dcp PE=1 SV=4	METABOLISM	E
P37095	pepB	46133.26021	2576	2673	2713	3464	3399	3347	3155	Amino acid transport and metabolism	Peptidase B OS=Escherichia coli (strain K12) GN=pepB PE=1 SV=2	METABOLISM	E
P09551	argT	27956.24088	29463	12700	16269	13118	7773	20307	6161	Amino acid transport and metabolism	Lysine-arginine-ornithine-binding periplasmic protein OS=Escherichia coli (strain K12) GN=argT PE=1 SV=3	METABOLISM	ET
P31660	prpC	43057.02009	1045	156	198	301	375	275	470	Energy production and conversion	2-methylcitrate synthase OS=Escherichia coli (strain K12) GN=prpC PE=1 SV=2	METABOLISM	C
P27306	sthA	51509.77384	1178	1315	1125	1020	706	1998	445	Energy production and conversion	Soluble pyridine nucleotide transhydrogenase OS=Escherichia coli (strain K12) GN=sthA PE=1 SV=5	METABOLISM	C
Q46856	yqhD	42052.78947	352	453	457	1622	2683	266	1052	Energy production and conversion	Alcohol dehydrogenase YqhD OS=Escherichia coli (strain K12) GN=yqhD PE=1 SV=1	METABOLISM	C
P11454	entF	141883.5654	26	33	32	32	32	23	43	Secondary metabolites biosynthesis, transport and catabolism	Enterobactin synthase component F OS=Escherichia coli (strain K12) GN=entF PE=1 SV=3	METABOLISM	Q
P0AE06	acrA	42153.07723	1531	1248	1941	2050	2161	1816	2423	Cell wall/membrane/envelope biogenesis	Acriflavine resistance protein A OS=Escherichia coli (strain K12) GN=acrA PE=1 SV=1	CELLULAR PROCESSES AND SIGNALING	M
P02931	ompF	39291.06024	19739	20980	27427	36613	27043	28643	24017	Cell wall/membrane/envelope biogenesis	Outer membrane protein F OS=Escherichia coli (strain K12) GN=ompF PE=1 SV=1	CELLULAR PROCESSES AND SIGNALING	M
P0A903	bamC	36801.60236	1207	903	1393	1349	1651	1355	1753	Cell wall/membrane/envelope biogenesis	Lipoprotein 34 OS=Escherichia coli (strain K12) GN=nlpB PE=1 SV=1	CELLULAR PROCESSES AND SIGNALING	M
P60906	hisS	46982.01028	1088	979	1179	1328	1668	1284	1889	Translation, ribosomal structure and biogenesis	Histidyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=hisS PE=1 SV=2	INFORMATION STORAGE AND PROCESSING	J
P0A7L0	rplA	24696.286	12511	11672	15169	20511	26063	18603	28502	Translation, ribosomal structure and biogenesis	50S ribosomal protein L1 OS=Escherichia coli (strain K12) GN=rplA PE=1 SV=2	INFORMATION STORAGE AND PROCESSING	J
P0AEK4	fabI	27828.04478	2308	2894	4006	3821	3593	3421	5014	Lipid transport and metabolism	Enoyl-[acyl-carrier-protein] reductase [NADH] OS=Escherichia coli (strain K12) GN=fabI PE=1 SV=2	METABOLISM	I
P02943	lamB	49862.58108	1159	1032	1206	1671	1193	1519	903	Carbohydrate transport and metabolism	Maltoporin OS=Escherichia coli (strain K12) GN=lamB PE=1 SV=1	METABOLISM	G
P00490	malP	90447.61358	177	157	222	274	439	237	274	Carbohydrate transport and metabolism	Maltodextrin phosphorylase OS=Escherichia coli (strain K12) GN=malP PE=1 SV=7	METABOLISM	G
P0A796	pfkA	34801.68622	1165	834	809	1269	1988	833	1448	Carbohydrate transport and metabolism	6-phosphofructokinase isozyme 1 OS=Escherichia coli (strain K12) GN=pfkA PE=1 SV=1	METABOLISM	G
P00550	mtlA	67910.6114	1217	812	548	1294	1014	1121	570	Carbohydrate transport and metabolism	PTS system mannitol-specific EIICBA component OS=Escherichia coli (strain K12) GN=mtlA PE=1 SV=1	METABOLISM	G
P02925	rbsB	30913.36533	23418	13630	26849	18597	10739	22037	5038	Carbohydrate transport and metabolism	D-ribose-binding periplasmic protein OS=Escherichia coli (strain K12) GN=rbsB PE=1 SV=1	METABOLISM	G
P0AB89	purB	51492.59536	914	714	1509	1496	2480	1961	1933	Nucleotide transport and metabolism	Adenylosuccinate lyase OS=Escherichia coli (strain K12) GN=purB PE=1 SV=1	METABOLISM	F
P18335	argD	43721.10429	2884	1549	2482	2286	2928	2023	3919	Amino acid transport and metabolism	Acetylornithine/succinyldiaminopimelate aminotransferase OS=Escherichia coli (strain K12) GN=argD PE=1 SV=4	METABOLISM	E
P0A6A6	leuC	49832.04222	2279	3551	2111	2920	2576	2803	2763	Amino acid transport and metabolism	3-isopropylmalate dehydratase large subunit OS=Escherichia coli (strain K12) GN=leuC PE=1 SV=2	METABOLISM	E
P0A879	trpB	42937.58854	2646	2213	4077	4071	5135	3105	5377	Amino acid transport and metabolism	Tryptophan synthase beta chain OS=Escherichia coli (strain K12) GN=trpB PE=1 SV=2	METABOLISM	E
P33195	gcvP	104291.7423	221	211	216	357	500	413	337	Amino acid transport and metabolism	Glycine dehydrogenase [decarboxylating] OS=Escherichia coli (strain K12) GN=gcvP PE=1 SV=3	METABOLISM	E
P00562	metL	88814.63109	165	182	171	214	390	177	343	Amino acid transport and metabolism	Bifunctional aspartokinase/homoserine dehydrogenase 2 OS=Escherichia coli (strain K12) GN=metL PE=1 SV=3	METABOLISM	E
P37902	gltI	33381.16628	5282	4577	5735	5920	4554	5178	4936	Amino acid transport and metabolism	Glutamate/aspartate periplasmic-binding protein OS=Escherichia coli (strain K12) GN=gltI PE=1 SV=2	METABOLISM	ET
P0A9X4	mreB	36911.03451	2646	2216	3182	3507	3646	3009	3277	Cell cycle control, cell division, chromosome partitioning	Rod shape-determining protein mreB OS=Escherichia coli (strain K12) GN=mreB PE=1 SV=1	CELLULAR PROCESSES AND SIGNALING	D
P06715	gor	48723.63153	970	765	969	996	1134	1069	986	Energy production and conversion	Glutathione reductase OS=Escherichia coli (strain K12) GN=gor PE=1 SV=1	METABOLISM	C
P31979	nuoF	49242.93959	586	510	652	859	791	808	393	Energy production and conversion	NADH-quinone oxidoreductase subunit F OS=Escherichia coli (strain K12) GN=nuoF PE=1 SV=3	METABOLISM	C
P67910	hldD	34853.12923	2401	2286	2274	2507	2670	2363	2898		ADP-L-glycero-D-manno-heptose-6-epimerase OS=Escherichia coli (strain K12) GN=hldD PE=1 SV=1		-
P0AGD7	ffh	49737.22258	480	469	622	712	821	521	925	Intracellular trafficking, secretion, and vesicular transport	Signal recognition particle protein OS=Escherichia coli (strain K12) GN=ffh PE=1 SV=1	CELLULAR PROCESSES AND SIGNALING	U
P0AG90	secD	66572.67588	307	300	486	422	617	470	430	Intracellular trafficking, secretion, and vesicular transport	Protein-export membrane protein secD OS=Escherichia coli (strain K12) GN=secD PE=3 SV=1	CELLULAR PROCESSES AND SIGNALING	U
